"city","state","id"
"Santa María de la Paz","Zacatecas","2"
"Trancoso","Zacatecas","3"
"Zacatecas","Zacatecas","4"
"Villanueva","Zacatecas","5"
"Villa Hidalgo","Zacatecas","6"
"Villa González Ortega","Zacatecas","7"
"Villa García","Zacatecas","8"
"Villa de Cos","Zacatecas","9"
"Vetagrande","Zacatecas","10"
"Valparaíso","Zacatecas","11"
"Tlaltenango de Sánchez Román","Zacatecas","12"
"Teul de González Ortega","Zacatecas","13"
"Tepetongo","Zacatecas","14"
"Tepechitlán","Zacatecas","15"
"Tabasco","Zacatecas","16"
"Susticacán","Zacatecas","17"
"Sombrerete","Zacatecas","18"
"El Salvador","Zacatecas","19"
"Sain Alto","Zacatecas","20"
"Río Grande","Zacatecas","21"
"Pinos","Zacatecas","22"
"Pánuco","Zacatecas","23"
"Ojocaliente","Zacatecas","24"
"Noria de Ángeles","Zacatecas","25"
"Nochistlán de Mejía","Zacatecas","26"
"Moyahua de Estrada","Zacatecas","27"
"Morelos","Zacatecas","28"
"Monte Escobedo","Zacatecas","29"
"Momax","Zacatecas","30"
"Miguel Auza","Zacatecas","31"
"Mezquital del Oro","Zacatecas","32"
"Melchor Ocampo","Zacatecas","33"
"Mazapil","Zacatecas","34"
"Luis Moya","Zacatecas","35"
"Loreto","Zacatecas","36"
"Juchipila","Zacatecas","37"
"Juan Aldama","Zacatecas","38"
"Jiménez del Teul","Zacatecas","39"
"Jerez","Zacatecas","40"
"Jalpa","Zacatecas","41"
"Huanusco","Zacatecas","42"
"Guadalupe","Zacatecas","43"
"General Pánfilo Natera","Zacatecas","44"
"El Plateado de Joaquín Amaro","Zacatecas","45"
"General Francisco R. Murguía","Zacatecas","46"
"General Enrique Estrada","Zacatecas","47"
"Genaro Codina","Zacatecas","48"
"Trinidad García de la Cadena","Zacatecas","49"
"Fresnillo","Zacatecas","50"
"Chalchihuites","Zacatecas","51"
"Cuauhtémoc","Zacatecas","52"
"Concepción del Oro","Zacatecas","53"
"Cañitas de Felipe Pescador","Zacatecas","54"
"Calera","Zacatecas","55"
"Benito Juárez","Zacatecas","56"
"Atolinga","Zacatecas","57"
"Apulco","Zacatecas","58"
"Apozol","Zacatecas","59"
"Yobaín","Yucatán","60"
"Yaxkukul","Yucatán","61"
"Yaxcabá","Yucatán","62"
"Xocchel","Yucatán","63"
"Valladolid","Yucatán","64"
"Umán","Yucatán","65"
"Ucú","Yucatán","66"
"Uayma","Yucatán","67"
"Tzucacab","Yucatán","68"
"Tunkás","Yucatán","69"
"Tizimín","Yucatán","70"
"Tixpéhual","Yucatán","71"
"Tixmehuac","Yucatán","72"
"Tixkokob","Yucatán","73"
"Tixcacalcupul","Yucatán","74"
"Tinum","Yucatán","75"
"Timucuy","Yucatán","76"
"Ticul","Yucatán","77"
"Teya","Yucatán","78"
"Tetiz","Yucatán","79"
"Tepakán","Yucatán","80"
"Temozón","Yucatán","81"
"Temax","Yucatán","82"
"Telchac Puerto","Yucatán","83"
"Telchac Pueblo","Yucatán","84"
"Tekom","Yucatán","85"
"Tekit","Yucatán","86"
"Tekax","Yucatán","87"
"Tekantó","Yucatán","88"
"Tekal de Venegas","Yucatán","89"
"Tecoh","Yucatán","90"
"Teabo","Yucatán","91"
"Tahmek","Yucatán","92"
"Tahdziú","Yucatán","93"
"Suma","Yucatán","94"
"Sudzal","Yucatán","95"
"Sucilá","Yucatán","96"
"Sotuta","Yucatán","97"
"Sinanché","Yucatán","98"
"Seyé","Yucatán","99"
"Santa Elena","Yucatán","100"
"San Felipe","Yucatán","101"
"Sanahcat","Yucatán","102"
"Samahil","Yucatán","103"
"Sacalum","Yucatán","104"
"Río Lagartos","Yucatán","105"
"Quintana Roo","Yucatán","106"
"Progreso","Yucatán","107"
"Peto","Yucatán","108"
"Panabá","Yucatán","109"
"Oxkutzcab","Yucatán","110"
"Opichén","Yucatán","111"
"Muxupip","Yucatán","112"
"Muna","Yucatán","113"
"Motul","Yucatán","114"
"Mocochá","Yucatán","115"
"Mérida","Yucatán","116"
"Mayapán","Yucatán","117"
"Maxcanú","Yucatán","118"
"Maní","Yucatán","119"
"Mama","Yucatán","120"
"Kopomá","Yucatán","121"
"Kinchil","Yucatán","122"
"Kaua","Yucatán","123"
"Kantunil","Yucatán","124"
"Kanasín","Yucatán","125"
"Izamal","Yucatán","126"
"Ixil","Yucatán","127"
"Hunucmá","Yucatán","128"
"Huhí","Yucatán","129"
"Homún","Yucatán","130"
"Hoctún","Yucatán","131"
"Hocabá","Yucatán","132"
"Halachó","Yucatán","133"
"Espita","Yucatán","134"
"Dzoncauich","Yucatán","135"
